00101, 01-05-2023, Weekly Car Rental, 1921, 300.00, 135.00, 435.00
00102, 08-05-2023, Weekly Car Rental, 1921, 300.00, 135.00, 435.00
00103, 15-05-2023, Weekly Car Rental, 1921, 300.00, 135.00, 435.00
00104, 22-05-2023, Weekly Car Rental, 1921, 300.00, 135.00, 435.00
00105, 29-05-2023, Weekly Car Rental, 1921, 300.00, 135.00, 435.00
00106, 30-05-2023, Daily Rental Fee, 1920, 60.00, 9.00, 69.00
00107, 01-06-2023, Monthly Stand Fee, 1919, 175.00, 26.25, 201.25
00108, 01-06-2023, Monthly Stand Fee, 1918, 175.00, 26.25, 201.25
00109, 01-06-2023, Monthly Stand Fee, 1917, 175.00, 26.25, 201.25
00110, 05-06-2023, Weekly Car Rental, 1921, 300.00, 135.00, 435.00
00111, 12-06-2023, Weekly Car Rental, 1921, 300.00, 45.00, 435.00
00112, 19-06-2023, Weekly Car Rental, 1921, 300.00, 45.00, 435.00
00113, 25-06-2023, Weekly Car Rental, 1921, 300.00, 45.00, 435.00
00114, 27-06-2023, Daily Rental Fee, 1920, 60.00, 9.00, 51.00
00115, 01-07-2023, Monthly Stand Fee, 1919, 175.00, 26.25, 201.25
00116, 01-07-2023, Monthly Stand Fee, 1918, 175.00, 26.25, 201.25
00117, 01-07-2023, Monthly Stand Fee, 1917, 175.00, 26.25, 201.25
00118, 01-07-2023, Daily Rental Fee, 1920, 60.00, 9.00, 69.00
00119, 02-07-2023, Weekly Car Rental, 1921, 300.00, 45.00, 435.00
00120, 09-07-2023, Weekly Car Rental, 1921, 300.00, 45.00, 435.00
00121, 14-07-2023, Weekly Car Rental, 1921, 300.00, 45.00, 435.00
00122, 21-07-2023, Weekly Car Rental, 1921, 300.00, 45.00, 435.00
00122, 29-07-2023, Weekly Car Rental, 1921, 300.00, 45.00, 435.00
00123, 01-08-2023, Monthly Stand Fee, 1919, 175.00, 26.25, 201.25
00124, 01-08-2023, Monthly Stand Fee, 1918, 175.00, 26.25, 201.25
00125, 01-08-2023, Monthly Stand Fee, 1917, 175.00, 26.25, 201.25
00126, 06-08-2023, Weekly Car Rental, 1921, 300.00, 45.00, 201.25
00127, 08-08-2023, Daily Rental Fee, 1920, 60.00, 9.00, 69.00
